member_id,dept_id,closure_start,closure_end,closure_duration_days,group,is_treated,score_time,displacement_prob_t0_ex_ante,predicted_displaced_t0_ex_ante
136578,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.014555018,0
137648,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.6433462,1
148355,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.22983143,0
149461,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.09233737,0
151036,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06356969,0
156135,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.011304578,0
156528,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.040589835,0
157172,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.6055392,1
161725,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.46969822,0
175042,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.012555114,0
178793,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.050550994,0
186124,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.92689395,1
197280,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.018768184,0
198556,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.015699605,0
198622,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0068462864,0
198698,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.25272483,0
199094,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.25113156,0
199340,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0070593115,0
206368,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.03808463,0
207424,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.24901861,0
214084,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7741664,1
214503,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.00046655445,0
214994,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.012492041,0
219180,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9858477,1
220587,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.76515305,1
224945,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.29754466,0
225305,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.21997921,0
226538,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.16007283,0
232757,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05069265,0
237202,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.029510552,0
241800,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.38009077,0
244391,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.027371682,0
245282,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.027348626,0
249174,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.88630843,1
249540,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.106746435,0
253732,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.31243965,0
254960,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.16903056,0
256369,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.26034686,0
260045,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5467615,1
262652,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.27411285,0
266161,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.056506805,0
272830,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.6246482,1
282920,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.34686172,0
286700,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06330909,0
293064,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0140212625,0
294183,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.03167519,0
303213,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06987479,0
305042,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.32592583,0
309225,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.12660758,0
309425,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1638579,0
309538,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.26303032,0
310160,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.057280943,0
311745,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.053799085,0
312007,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.45180085,0
312858,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.057725802,0
321263,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.36510083,0
322643,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.008808094,0
325701,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.03466596,0
328382,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.24321167,0
328654,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.23533109,0
329951,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3205809,0
333817,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.32167035,0
334431,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.30773655,0
334867,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7765298,1
335179,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.17839478,0
337373,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7228774,1
337384,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.68775153,1
337995,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.30015373,0
338915,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.054967772,0
339173,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.120889984,0
340749,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0971036,0
344808,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3846059,0
344884,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.04833844,0
346936,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.01848276,0
347007,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.8394549,1
349263,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.6903509,1
349453,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5934503,1
355506,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5700002,1
357381,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.053656112,0
357898,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.435876,0
358508,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9912952,1
359557,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.50504804,1
360873,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05615957,0
361841,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.03330822,0
363989,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.12526044,0
368245,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.92596895,1
370988,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.034358904,0
372568,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.067508064,0
376317,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.44006616,0
378239,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.079004124,0
382771,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.86639297,1
383973,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.01113067,0
384443,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.023468776,0
385834,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.11341857,0
385857,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.019380787,0
388160,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.15958406,0
388338,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.2914982,0
388911,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.005070083,0
389806,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.045970254,0
395354,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.28883663,0
395893,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.07142811,0
396611,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.26797032,0
397819,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.015130706,0
398366,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.019030603,0
399931,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.47661445,0
400814,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05964407,0
402129,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.35856444,0
404225,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.07156946,0
407060,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.19499256,0
409183,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.25273114,0
416703,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.193965,0
417063,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.56501234,1
421583,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.29253975,0
425821,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.720807,1
428470,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.19478564,0
430385,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.73228663,1
430690,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3671761,0
431059,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0862957,0
434636,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.29078385,0
437671,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.02769719,0
438233,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.13595822,0
443475,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.027010687,0
444447,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0030876996,0
444671,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.32837966,0
445547,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.040145278,0
446046,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.020673523,0
451831,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.09558269,0
457763,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.050202087,0
459214,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.334747,0
459353,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0584614,0
459599,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.37404317,0
466154,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.02628149,0
467336,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.11059001,0
467711,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.35892534,0
470301,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.04540107,0
472342,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5734712,1
473869,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.040919643,0
474809,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.021015815,0
476730,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05403166,0
479225,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.050186753,0
479574,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.19343206,0
480312,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7169135,1
481534,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7826871,1
483355,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.10147361,0
483497,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0057454775,0
487801,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.07093231,0
492476,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.012886814,0
493994,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.09905217,0
493996,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1989989,0
494674,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.01913198,0
494920,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1176917,0
496631,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4095117,0
496856,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.02497171,0
497929,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0032890285,0
502196,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7322829,1
502318,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.97955304,1
503905,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5707439,1
505248,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.03325626,0
505843,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.76468873,1
508337,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1413887,0
510253,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.20287158,0
511297,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.12962258,0
518563,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.82500875,1
521816,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.038816504,0
522545,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.8288828,1
525223,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5293815,1
527838,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.002942435,0
535155,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.023890676,0
539544,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.20478116,0
542652,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.091021545,0
543174,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.061402973,0
545450,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.37612098,0
546738,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.98791724,1
547516,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.024330433,0
549106,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.013661494,0
549400,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.17319433,0
549703,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4559979,0
553356,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3413471,0
553876,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7540912,1
553970,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.024413133,0
554177,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.17393315,0
554211,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.14073108,0
555669,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.12802207,0
555847,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.012173501,0
556514,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05112813,0
558534,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.21126768,0
561552,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.8383044,1
561749,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.19608912,0
562115,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3572956,0
564416,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4313667,0
570206,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5909493,1
570246,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.013620835,0
570584,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.016757263,0
571297,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.47754037,0
571725,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.045091897,0
571819,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.15478301,0
572773,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.37533292,0
574692,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.43336767,0
575605,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.39945966,0
575629,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.022737611,0
576312,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.19599634,0
577514,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.38611594,0
584199,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.15489303,0
585716,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.63222265,1
585917,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.53630805,1
585956,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.02901614,0
589181,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0007023063,0
589327,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.12786074,0
591781,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.87182623,1
593774,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05071883,0
594048,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.43105066,0
596039,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.048417337,0
596284,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.121228576,0
598660,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.8301313,1
601781,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06673917,0
603941,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.17954208,0
605270,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.018912913,0
605344,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1929471,0
606282,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05073459,0
611289,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7596316,1
611297,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.44616506,0
611888,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7317735,1
612667,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.62103325,1
613111,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.44614452,0
616439,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3000994,0
619226,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.024582557,0
624852,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.46893293,0
625855,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0026350117,0
625902,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9490053,1
627634,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4726747,0
630509,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0064559556,0
631042,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.7780768,1
631179,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.10434209,0
634275,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5680703,1
634639,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.017024701,0
635301,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.044511132,0
641461,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.046294194,0
643901,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4258621,0
644765,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4750071,0
644924,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.022840923,0
645944,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9940825,1
646657,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.43415835,0
648369,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.00583649,0
649942,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.15909995,0
653010,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.051729627,0
654209,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.094181135,0
654323,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.40418214,0
654861,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.033065096,0
656109,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.007411597,0
